,date,content,url,hashtags,topic
420,2015-01-24 03:59:01+00:00,Come celebrate w/ me that everyday something has tried to kill me + has failed. #AvaDuVernay @AVAETC #BlackLivesMatter #Selma #OscarsSoWhite,https://twitter.com/guerillartist/status/558836341585506304,"['AvaDuVernay', 'BlackLivesMatter', 'Selma', 'OscarsSoWhite']",oscars
421,2015-01-24 03:55:06+00:00,https://t.co/J45vEpXzSA #film #filmmaking #Oscars2015 #OscarsSoWhite #piracy,https://twitter.com/TinnaLAH/status/558835357962473472,"['film', 'filmmaking', 'Oscars2015', 'OscarsSoWhite', 'piracy']",oscars
422,2015-01-24 02:43:57+00:00,"Yeah..lmao!
""@michellemalkin: @jimmyfallon 2016 Democratic frontrunners: The whiteness. It burns. #oscarssowhite http://t.co/FcgoBh6o9Y""",https://twitter.com/bimmerella/status/558817452487106560,['oscarssowhite'],oscars
423,2015-01-24 01:59:05+00:00,Let Jennifer Aniston &amp; David Oyelowo Show You How To Handle A Snub With Grace... #OscarsSoWhite #Oscars http://t.co/7DJmuIaGZM,https://twitter.com/brahmkornbluth/status/558806159579049984,"['OscarsSoWhite', 'Oscars']",oscars
424,2015-01-24 01:55:05+00:00,Bravo @CinemaTropical celebrating #LatinoCinema http://t.co/7p21jWoWuA #OscarsSoWhite #Latino #Film,https://twitter.com/LatinoHeritage_/status/558805155500814336,"['LatinoCinema', 'OscarsSoWhite', 'Latino', 'Film']",oscars
425,2015-01-24 01:42:21+00:00,"@ColMorrisDavis @rupertmurdoch  #OscarsSoWhite &amp; racist that they must solicit Multi-Billionaires to label them ""Leftist""",https://twitter.com/rjoseph7777/status/558801949143752705,['OscarsSoWhite'],oscars
426,2015-01-24 01:41:45+00:00,excited to stay at home tomorrow! #UFCStockholm have to go out tonight #ImitationGame #Oscars2015 #OscarsSoWhite,https://twitter.com/ZachSmorch/status/558801799331586048,"['UFCStockholm', 'ImitationGame', 'Oscars2015', 'OscarsSoWhite']",oscars
427,2015-01-24 01:30:40+00:00,#OscarsSoWhite (and Male): Read our weekly newsletter today! http://t.co/Vh3ukC7NPs,https://twitter.com/EllevateNtwk/status/558799011453620224,['OscarsSoWhite'],oscars
428,2015-01-24 01:11:08+00:00,@SteiveWild @TheRevAl DAMN! WORSE than an #OscarsSoWhite snub. LOLOLOL,https://twitter.com/EgoAltered02/status/558794094483628034,['OscarsSoWhite'],oscars
429,2015-01-24 01:06:03+00:00,The Oscar Academy members are a group of racist white supremacists! That's why they snubbed #Selma! #OscarsSoWhite http://t.co/ctBenkxcp5,https://twitter.com/menes676/status/558792814843428865,"['Selma', 'OscarsSoWhite']",oscars
430,2015-01-24 00:30:18+00:00,#colorsofdiamonds #oscarssowhite Another Beautiful #Diamond http://t.co/jTbyODTVE3,https://twitter.com/VividPinkD/status/558783818069716992,"['colorsofdiamonds', 'oscarssowhite', 'Diamond']",oscars
431,2015-01-24 00:24:51+00:00,It's funny that #SelmaMovie get criticized for being inaccurate while #AmericanSniper praised when it has inaccuracies. #OscarsSoWhite,https://twitter.com/Terrell_the_Man/status/558782446733234178,"['SelmaMovie', 'AmericanSniper', 'OscarsSoWhite']",oscars
432,2015-01-24 00:12:27+00:00,"John Legend Agrees That #OscarsSoWhite, Will Be Someone’s “Kanye”: Selma is NOW. Read More... http://t.co/pOObDpS04z",https://twitter.com/brunoceb/status/558779325638377472,['OscarsSoWhite'],oscars
